scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
birkaç-bütün,Öğrencilerin birkaçı dersi geçti.,Bütün öğrenciler dersi geçti.,Hiçbir öğrenci dersi geçmedi.,Bütün öğrenciler dersi geçmedi.,"Öğrencilerin birkaçı dersi geçti, hatta bütün öğrenciler dersi geçti.","Öğrencilerin birkaçı dersi geçti, belki de bütün öğrenciler dersi geçti.",Öğrencilerin birkaçı dersi geçti ama bütün öğrenciler dersi geçmedi.,"Bütün öğrenciler dersi geçmedi, hatta öğrencilerin birkaçı bile geçmedi.","Bütün öğrenciler dersi geçmedi, belki de öğrencilerin birkaçı bile geçmedi.",Bütün öğrenciler dersi geçmedi ama öğrencilerin birkaçı dersi geçti.
birkaç-bütün,Birkaç ağaç koruma altına alındı.,Bütün ağaçlar koruma altına alındı.,Hiçbir ağaç koruma altına alınmadı.,Bütün ağaçlar koruma altına alınmadı.,"Birkaç ağaç koruma altına alındı, hatta bütün ağaçlar koruma altına alındı.","Birkaç ağaç koruma altına alındı, belki de bütün ağaçlar koruma altına alındı.",Birkaç ağaç koruma altına alındı ama bütün ağaçlar koruma altına alınmadı.,"Bütün ağaçlar koruma altına alınmadı, hatta birkaç ağaç bile koruma altına alınmadı.","Bütün ağaçlar koruma altına alınmadı, belki de birkaç ağaç bile koruma altına alınmadı.",Bütün ağaçlar koruma altına alınmadı ama birkaç ağaç koruma altına alındı.
birkaç-bütün,Birkaç arabanın satışı gerçekleşecek.,Bütün arabaların satışı gerçekleşecek.,Hiçbir arabanın satışı gerçekleşmeyecek.,Bütün arabaların satışı gerçekleşmeyecek.,"Birkaç arabanın satışı gerçekleşecek, hatta bütün arabaların satışı gerçekleşecek.","Birkaç arabanın satışı gerçekleşecek, belki de bütün arabaların satışı gerçekleşecek.",Birkaç arabanın satışı gerçekleşecek ama bütün arabaların satışı gerçekleşmeyecek.,"Bütün arabaların satışı gerçekleşmeyecek, hatta birkaç arabanın bile satışı gerçekleşmeyecek.","Bütün arabaların satışı gerçekleşmeyecek, belki de birkaç arabanın bile satışı gerçekleşmeyecek.",Bütün arabaların satışı gerçekleşmeyecek ama birkaç arabanın satışı gerçekleşecek.
birkaç-bütün,Birkaç çocuğun yemeği hazırlandı.,Bütün çocukların yemeği hazırlandı.,Hiçbir çocuğun yemeği hazırlanmadı.,Bütün çocukların yemeği hazırlanmadı.,"Birkaç çocuğun yemeği hazırlandı, hatta bütün çocukların yemeği hazırlandı.","Birkaç çocuğun yemeği hazırlandı, belki de bütün çocukların yemeği hazırlandı.",Birkaç çocuğun yemeği hazırlandı ama bütün çocukların yemeği hazırlanmadı.,"Bütün çocukların yemeği hazırlanmadı, hatta birkaç çocuğun bile yemeği hazırlanmadı.","Bütün çocukların yemeği hazırlanmadı, belki de birkaç çocuğun bile yemeği hazırlanmadı.",Bütün çocukların yemeği hazırlanmadı ama birkaç çocuğun yemeği hazırlandı.
birkaç-bütün,Defterin birkaç sayfası yırtık.,Defterin bütün sayfaları yırtık.,Defterin hiçbir sayfası yırtık değil.,Defterin bütün sayfaları yırtık değil.,"Defterin birkaç sayfası yırtık, hatta bütün sayfaları yırtık.","Defterin birkaç sayfası yırtık, belki de bütün sayfaları yırtık.",Defterin birkaç sayfası yırtık ama bütün sayfaları yırtık değil.,"Defterin bütün sayfaları yırtık değil, hatta birkaç sayfası bile yırtık değil.","Defterin bütün sayfaları yırtık değil, belki de birkaç sayfası bile yırtık değil.",Defterin bütün sayfaları yırtık değil ama birkaç sayfası yırtık.
birkaç-bütün,Dün birkaç arkadaşımı gördüm.,Dün bütün arkadaşlarımı gördüm.,Dün hiçbir arkadaşımı görmedim.,Dün bütün arkadaşlarımı görmedim.,"Dün birkaç arkadaşımı gördüm, hatta bütün arkadaşlarımı gördüm.","Dün birkaç arkadaşımı gördüm, belki de bütün arkadaşlarımı gördüm.",Dün birkaç arkadaşımı gördüm ama bütün arkadaşlarımı görmedim.,"Dün bütün arkadaşlarımı görmedim, hatta birkaç arkadaşımı bile görmedim.","Dün bütün arkadaşlarımı görmedim, belki de birkaç arkadaşımı bile görmedim.",Dün bütün arkadaşlarımı görmedim ama birkaç arkadaşımı gördüm.
birkaç-bütün,Birkaç görevli istifa etti.,Bütün görevliler istifa etti.,Hiçbir görevli istifa etmedi.,Bütün görevliler istifa etmedi.,"Birkaç görevli istifa etti, hatta bütün görevliler istifa etti.","Birkaç görevli istifa etti, belki de bütün görevliler istifa etti.",Birkaç görevli istifa etti ama bütün görevliler istifa etmedi.,"Bütün görevliler istifa etmedi, hatta birkaç görevli bile istifa etmedi.","Bütün görevliler istifa etmedi, belki de birkaç görevli bile istifa etmedi.",Bütün görevliler istifa etmedi ama birkaç görevli istifa etti.
birkaç-bütün,Başlıkların birkaçı yalan.,Başlıkların bütünü yalan.,Başlıkların hiçbiri yalan değil.,Başlıkların bütünü yalan değil.,"Başlıkların birkaçı yalan, hatta bütünü yalan.","Başlıkların birkaçı yalan, belki de bütünü yalan.",Başlıkların birkaçı yalan ama bütünü yalan değil.,"Başlıkların bütünü yalan değil, hatta birkaçı bile yalan değil.","Başlıkların bütünü yalan değil, belki de birkaçı bile yalan değil.",Başlıkların bütünü yalan değil ama birkaçı yalan.
birkaç-bütün,Benim oyuncularımın birkaçı yorgun.,Benim bütün oyuncularım yorgun.,Benim oyuncularımın hiçbiri yorgun değil.,Benim bütün oyuncularım yorgun değil.,"Benim oyuncularımın birkaçı yorgun, hatta bütün oyuncularım yorgun.","Benim oyuncularımın birkaçı yorgun, belki de bütün oyuncularım yorgun.",Benim oyuncularımın birkaçı yorgun ama bütün oyuncularım yorgun değil.,"Benim bütün oyuncularım yorgun değil, hatta oyuncularımın birkaçı bile yorgun değil.","Benim bütün oyuncularım yorgun değil, belki de oyuncularımın birkaçı bile yorgun değil.",Benim bütün oyuncularım yorgun değil ama oyuncularımın birkaçı yorgun.
birkaç-bütün,Okulun birkaç kapısı eski.,Okulun bütün kapıları eski.,Okulun hiçbir kapısı eski değil.,Okulun bütün kapıları eski değil.,"Okulun birkaç kapısı eski, hatta bütün kapıları eski.","Okulun birkaç kapısı eski, belki de bütün kapıları eski.",Okulun birkaç kapısı eski ama bütün kapıları eski değil.,"Okulun bütün kapıları eski değil, hatta birkaç kapısı bile eski değil.","Okulun bütün kapıları eski değil, belki de birkaç kapısı bile eski değil.",Okulun bütün kapıları eski değil ama birkaç kapısı eski.
birkaç-bütün,Birkaç gemiyi görmüştük.,Bütün gemileri görmüştük.,Hiçbir gemiyi görmemiştik.,Bütün gemileri görmemiştik.,"Birkaç gemiyi görmüştük, hatta bütün gemileri görmüştük.","Birkaç gemiyi görmüştük, belki de bütün gemileri görmüştük.",Birkaç gemiyi görmüştük ama bütün gemileri görmemiştik.,"Bütün gemileri görmemiştik, hatta birkaç gemiyi bile görmemiştik.","Bütün gemileri görmemiştik, belki de birkaç gemiyi bile görmemiştik.",Bütün gemileri görmemiştik ama birkaç gemiyi görmüştük.
