scale,A,B,C,D,D2,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement,C_implicature_1,C_implicature_2,C_implicature_3
iki-üç,Fakültede iki bölüm var.,Fakültede üç bölüm var.,Fakültede iki bölüm yok.,Fakültede üç bölüm yok.,Fakültede ikiden fazla bölüm yok.,"Fakültede iki bölüm var, hatta üç bölüm var.","Fakültede iki bölüm var, belki de üç bölüm var.",Fakültede iki bölüm var ama üç bölüm yok.,"Fakültede üç bölüm yok, hatta iki bölüm bile yok.","Fakültede üç bölüm yok, belki iki bölüm bile yok.",Fakültede üç bölüm yok ama iki bölüm var.,Fakültede ikiden az bölüm var.,Fakültede en fazla bir bölüm var.,Fakültede en az bir tane bölüm var.
iki-üç,Şehirde iki hastane var.,Şehirde üç hastane var.,Şehirde iki hastane yok.,Şehirde üç hastane yok.,Şehirde ikiden fazla hastane yok.,"Şehirde iki hastane var, hatta üç hastane var.","Şehirde iki hastane var, belki de üç hastane var.",Şehirde iki hastane var ama üç hastane yok.,"Şehirde üç hastane yok, hatta iki hastane bile yok.","Şehirde üç hastane yok, belki iki hastane bile yok.",Şehirde üç hastane yok ama iki hastane var.,Şehirde ikiden az hastane var.,Şehirde en fazla bir hastane var.,Şehirde en az bir tane hastane var.
iki-üç,Vizyonda iki film var.,Vizyonda üç film var.,Vizyonda iki film yok.,Vizyonda üç film yok.,Vizyonda ikiden fazla film yok.,"Vizyonda iki film var, hatta üç film var.","Vizyonda iki film var, belki de üç film var.",Vizyonda iki film var ama üç film yok.,"Vizyonda üç film yok, hatta iki film bile yok.","Vizyonda üç film yok, belki iki film bile yok.",Vizyonda üç film yok ama iki film var.,Vizyonda ikiden az film var.,Vizyonda en fazla bir film var.,Vizyonda en az bir tane film var.
iki-üç,Müzede iki tablo var.,Müzede üç tablo var.,Müzede iki tablo yok.,Müzede üç tablo yok.,Müzede ikiden fazla tablo yok.,"Müzede iki tablo var, hatta üç tablo var.","Müzede iki tablo var, belki de üç tablo var.",Müzede iki tablo var ama üç tablo yok.,"Müzede üç tablo yok, hatta iki tablo bile yok.","Müzede üç tablo yok, belki iki tablo bile yok.",Müzede üç tablo yok ama iki tablo var.,Müzede ikiden az tablo var.,Müzede en fazla bir tablo var.,Müzede en az bir tane tablo var.
iki-üç,Kütüphanede iki kitap var.,Kütüphanede üç kitap var.,Kütüphanede iki kitap yok.,Kütüphanede üç kitap yok.,Kütüphanede ikiden fazla kitap yok.,"Kütüphanede iki kitap var, hatta üç kitap var.","Kütüphanede iki kitap var, belki de üç kitap var.",Kütüphanede iki kitap var ama üç kitap yok.,"Kütüphanede üç kitap yok, hatta iki kitap bile yok.","Kütüphanede üç kitap yok, belki iki kitap bile yok.",Kütüphanede üç kitap yok ama iki kitap var.,Kütüphanede ikiden az kitap var.,Kütüphanede en fazla bir kitap var.,Kütüphanede en az bir tane kitap var.
iki-üç,Kafede iki masa var.,Kafede üç masa var.,Kafede iki masa yok.,Kafede üç masa yok.,Kafede ikiden fazla masa yok.,"Kafede iki masa var, hatta üç masa var.","Kafede iki masa var, belki de üç masa var.",Kafede iki masa var ama üç masa yok.,"Kafede üç masa yok, hatta iki masa bile yok.","Kafede üç masa yok, belki iki masa bile yok.",Kafede üç masa yok ama iki masa var.,Kafede ikiden az masa var.,Kafede en fazla bir masa var.,Kafede en az bir tane masa var.
iki-üç,Sinemada iki izleyici var.,Sinemada üç izleyici var.,Sinemada iki izleyici yok.,Sinemada üç izleyici yok.,Sinemada ikiden fazla izleyici yok.,"Sinemada iki izleyici var, hatta üç izleyici var.","Sinemada iki izleyici var, belki de üç izleyici var.",Sinemada iki izleyici var ama üç izleyici yok.,"Sinemada üç izleyici yok, hatta iki izleyici bile yok.","Sinemada üç izleyici yok, belki iki izleyici bile yok.",Sinemada üç izleyici yok ama iki izleyici var.,Sinemada ikiden az izleyici var.,Sinemada en fazla bir izleyici var.,Sinemada en az bir tane izleyici var.
iki-üç,Evde iki çocuk var.,Evde üç çocuk var.,Evde iki çocuk yok.,Evde üç çocuk yok.,Evde ikiden fazla çocuk yok.,"Evde iki çocuk var, hatta üç çocuk var.","Evde iki çocuk var, belki de üç çocuk var.",Evde iki çocuk var ama üç çocuk yok.,"Evde üç çocuk yok, hatta iki çocuk bile yok.","Evde üç çocuk yok, belki iki çocuk bile yok.",Evde üç çocuk yok ama iki çocuk var.,Evde ikiden az çocuk var.,Evde en fazla bir çocuk var.,Evde en az bir tane çocuk var.
iki-üç,Doğada iki element var.,Doğada üç element var.,Doğada iki element yok.,Doğada üç element yok.,Doğada ikiden fazla element yok.,"Doğada iki element var, hatta üç element var.","Doğada iki element var, belki de üç element var.",Doğada iki element var ama üç element yok.,"Doğada üç element yok, hatta iki element bile yok.","Doğada üç element yok, belki iki element bile yok.",Doğada üç element yok ama iki element var.,Doğada ikiden az element var.,Doğada en fazla bir element var.,Doğada en az bir tane element var.
iki-üç,Spor salonunda iki ağırlık var.,Spor salonunda üç ağırlık var.,Spor salonunda iki ağırlık yok.,Spor salonunda üç ağırlık yok.,Spor salonunda ikiden fazla ağırlık yok.,"Spor salonunda iki ağırlık var, hatta üç ağırlık var.","Spor salonunda iki ağırlık var, belki de üç ağırlık var.",Spor salonunda iki ağırlık var ama üç ağırlık yok.,"Spor salonunda üç ağırlık yok, hatta iki ağırlık bile yok.","Spor salonunda üç ağırlık yok, belki iki ağırlık bile yok.",Spor salonunda üç ağırlık yok ama iki ağırlık var.,Spor salonunda ikiden az ağırlık var.,Spor salonunda en fazla bir ağırlık var.,Spor salonunda en az bir tane ağırlık var.
