scale,A,B,C,D,D2,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement,C_implicature_1,C_implicature_2,C_implicature_3
iki-üç,Perdelerin ikisi kirlenmiş.,Perdelerin üçü kirlenmiş.,Perdelerin ikisi kirlenmemiş.,Perdelerin üçü kirlenmemiş.,Perdelerin ikisinden fazlası kirlenmemiş.,"Perdelerin ikisi kirlenmiş, hatta üçü kirlenmiş.","Perdelerin ikisi kirlenmiş, belki de üçü kirlenmiş.",Perdelerin ikisi kirlenmiş ama üçü kirlenmemiş.,"Perdelerin üçü kirlenmemiş, hatta ikisi kirlenmemiş.","Perdelerin üçü kirlenmemiş, belki ikisi kirlenmemiş.",Perdelerin üçü kirlenmemiş ama ikisi kirlenmiş.,Perdelerin ikisinden azı kirlenmiş.,Perdelerin en fazla ikisi kirlenmiş.,Perdelerin en az biri kirlenmiş.
iki-üç,Oyunun iki bölümünü bitirdim.,Oyunun üç bölümünü bitirdim.,Oyunun iki bölümünü bitirmedim.,Oyunun üç bölümünü bitirmedim.,Oyunun ikiden fazla bölümünü bitirmedim.,"Oyunun iki bölümünü bitirdim, hatta üç bölümünü bitirdim.","Oyunun iki bölümünü bitirdim, belki de üç bölümünü bitirdim.",Oyunun iki bölümünü bitirdim ama üç bölümünü bitirmedim.,"Oyunun üç bölümünü bitirmedim, hatta iki bölümünü bile bitirmedim.","Oyunun üç bölümünü bitirmedim, belki iki bölümünü bile bitirmedim.",Oyunun üç bölümünü bitirmedim ama iki bölümünü bitirdim.,Oyunun ikiden az bölümünü bitirdim.,Oyunun en fazla bir bölümünü bitirdim.,Oyunun en az bir tane bölümünü bitirdim.
iki-üç,Projenin iki aşaması tamam.,Projenin üç aşaması tamam.,Projenin iki aşaması tamam değil.,Projenin üç aşaması tamam değil.,Projenin ikiden fazla aşaması tamam değil.,"Projenin iki aşaması tamam, hatta üç aşaması tamam.","Projenin iki aşaması tamam, belki de üç aşaması tamam.",Projenin iki aşaması tamam ama üç aşaması tamam değil.,"Projenin üç aşaması tamam değil, hatta iki aşaması bile tamam değil.","Projenin üç aşaması tamam değil, belki iki aşaması bile tamam değil.",Projenin üç aşaması tamam değil ama iki aşaması tamam.,Projenin ikiden az aşaması tamam.,Projenin en fazla bir aşaması tamam.,Projenin en az bir tane aşaması tamam.
iki-üç,Evlerin ikisi depreme dayanıklı.,Evlerin üçü depreme dayanıklı.,Evlerin ikisi depreme dayanıklı değil.,Evlerin üçü depreme dayanıklı değil.,Evlerin ikisinden fazlası depreme dayanıklı değil.,"Evlerin ikisi depreme dayanıklı, hatta üçü depreme dayanıklı.","Evlerin ikisi depreme dayanıklı, belki de üçü depreme dayanıklı.",Evlerin ikisi depreme dayanıklı ama üçü depreme dayanıklı değil.,"Evlerin üçü depreme dayanıklı değil, hatta ikisi depreme dayanıklı değil.","Evlerin üçü depreme dayanıklı değil, belki ikisi depreme dayanıklı değil.",Evlerin üçü depreme dayanıklı değil ama ikisi depreme dayanıklı.,Evlerin ikisinden azı depreme dayanıklı.,Evlerin en fazla ikisi depreme dayanıklı.,Evlerin en az biri depreme dayanıklı.
iki-üç,Şirketlerden iki tanesi batmış.,Şirketlerden üç tanesi batmış.,Şirketlerden ikisi batmamış.,Şirketlerden üçü batmamış.,Şirketlerden ikisinden fazlası batmamış.,"Şirketlerden ikisi batmış, hatta üç tanesi batmış.","Şirketlerden ikisi batmış, belki de üç tanesi batmış.",Şirketlerden ikisi batmış ama üç tanesi batmamış.,"Şirketlerden üç tanesi batmamış, hatta ikisi batmamış.","Şirketlerden üç tanesi batmamış, belki ikisi batmamış.",Şirketlerden üç tanesi batmamış ama ikisi batmış.,Şirketlerden ikisinden azı batmış.,Şirketlerden en fazla ikisi batmış.,Şirketlerden en az biri batmış.
iki-üç,Ödüllerin ikisi bize verilecek.,Ödüllerin üçü bize verilecek.,Ödüllerin ikisi bize verilmeyecek.,Ödüllerin üçü bize verilmeyecek.,Ödüllerin ikisinden fazlası bize verilmeyecek.,"Ödüllerin ikisi bize verilecek, hatta üçü bize verilecek.","Ödüllerin ikisi bize verilecek, belki de üçü bize verilecek.",Ödüllerin ikisi bize verilecek ama üçü bize verilmeyecek.,"Ödüllerin üçü bize verilmeyecek, hatta ikisi bize verilmeyecek.","Ödüllerin üçü bize verilmeyecek, belki ikisi bize verilmeyecek.",Ödüllerin üçü bize verilmeyecek ama ikisi bize verilecek.,Ödüllerin ikisinden azı bize verilecek.,Ödüllerin en fazla ikisi bize verilecek.,Ödüllerin en az biri bize verilecek.
iki-üç,Adayların ikisi bura doğumlu.,Adayların üçü bura doğumlu.,Adayların ikisi bura doğumlu değil.,Adayların üçü bura doğumlu değil.,Adayların ikisinden fazlası bura doğumlu değil.,"Adayların ikisi bura doğumlu, hatta üçü bura doğumlu.","Adayların ikisi bura doğumlu, belki de üçü bura doğumlu.",Adayların ikisi bura doğumlu ama üçü bura doğumlu değil.,"Adayların üçü bura doğumlu değil, hatta ikisi bura doğumlu değil.","Adayların üçü bura doğumlu değil, belki ikisi bura doğumlu değil.",Adayların üçü bura doğumlu değil ama ikisi bura doğumlu.,Adayların ikisinden azı bura doğumlu.,Adayların en fazla ikisi bura doğumlu.,Adayların en az biri bura doğumlu.
iki-üç,Bu projelerden iki tanesi başarılı olacak.,Bu projelerden üç tanesi başarılı olacak.,Bu projelerden ikisi başarılı olmayacak.,Bu projelerden üçü başarılı olmayacak.,Bu projelerden ikisinden fazlası başarılı olmayacak.,"Bu projelerden ikisi başarılı olacak, hatta üç tanesi başarılı olacak.","Bu projelerden ikisi başarılı olacak, belki de üç tanesi başarılı olacak.",Bu projelerden ikisi başarılı olacak ama üçü başarılı olmayacak.,"Bu projelerden üçü başarılı olmayacak, hatta ikisi başarılı olmayacak.","Bu projelerden üçü başarılı olmayacak, belki ikisi başarılı olmayacak.",Bu projelerden üçü başarılı olmayacak ama ikisi başarılı olacak.,Bu projelerden ikisinden azı başarılı olacak.,Bu projelerden en fazla ikisi başarılı olacak.,Bu projelerden en az biri başarılı olacak.
iki-üç,Albümdeki şarkılardan iki tanesi hit olmuş.,Albümdeki şarkılardan üç tanesi hit olmuş.,Albümdeki şarkılardan ikisi hit olmamış.,Albümdeki şarkılardan üçü hit olmamış.,Albümdeki şarkılardan ikisinden fazlası hit olmamış.,"Albümdeki şarkılardan ikisi hit olmuş, hatta üç tanesi hit olmuş.","Albümdeki şarkılardan ikisi hit olmuş, belki de üç tanesi hit olmuş.",Albümdeki şarkılardan ikisi hit olmuş ama üçü hit olmamış.,"Albümdeki şarkılardan üçü hit olmamış, hatta ikisi hit olmamış.","Albümdeki şarkılardan üçü hit olmamış, belki ikisi hit olmamış.",Albümdeki şarkılardan üçü hit olmamış ama ikisi hit olmuş.,Albümdeki şarkılardan ikisinden azı hit olmuş.,Albümdeki şarkılardan en fazla ikisi hit olmuş.,Albümdeki şarkılardan en az biri hit olmuş.
iki-üç,Gözlüklerimin iki tanesi kayıp.,Gözlüklerimin üç tanesi kayıp.,Gözlüklerimin ikisi kayıp değil.,Gözlüklerimin üçü kayıp değil.,Gözlüklerimin ikisinden fazlası kayıp değil.,"Gözlüklerimin ikisi kayıp, hatta üç tanesi kayıp.","Gözlüklerimin ikisi kayıp, belki de üç tanesi kayıp.",Gözlüklerimin ikisi kayıp ama üçü kayıp değil.,"Gözlüklerimin üçü kayıp değil, hatta ikisi kayıp değil.","Gözlüklerimin üçü kayıp değil, belki ikisi kayıp değil.",Gözlüklerimin üçü kayıp değil ama ikisi kayıp.,Gözlüklerimin ikisinden azı kayıp.,Gözlüklerimin en fazla ikisi kayıp.,Gözlüklerimin en az biri kayıp.
