ling_category,set_n,sentence_n,scale,premise,hypothesis,category,label
6,1,1,iki-üç-par-n,Perdelerin ikisi kirlenmiş.,Perdelerin üçü kirlenmemiş.,neutral,1
6,1,2,iki-üç-par-n,Perdelerin ikisinden fazlası kirlenmemiş.,Perdelerin ikisi kirlenmiş.,neutral,1
6,1,3,iki-üç-par-n,Perdelerin ikisi kirlenmemiş.,Perdelerin üçü kirlenmemiş.,neutral,1
6,1,4,iki-üç-par-n,Perdelerin üçü kirlenmiş.,Perdelerin ikisi kirlenmiş.,entailment,0
6,1,5,iki-üç-par-n,Perdelerin üçü kirlenmemiş.,Perdelerin ikisi kirlenmemiş.,neutral,1
6,1,6,iki-üç-par-n,Perdelerin ikisi kirlenmiş.,Perdelerin üçü kirlenmiş.,neutral,1
6,1,7,iki-üç-par-n,Perdelerin üçü kirlenmiş.,Perdelerin ikisi kirlenmemiş.,neutral,1
6,1,8,iki-üç-par-n,Perdelerin ikisi kirlenmemiş.,Perdelerin üçü kirlenmiş.,neutral,1
6,1,9,iki-üç-par-c,Perdelerin ikisi kirlenmemiş.,Perdelerin ikisinden azı kirlenmiş.,neutral,1
6,1,10,iki-üç-par-c,Perdelerin ikisi kirlenmemiş.,Perdelerin en fazla ikisi kirlenmiş.,neutral,1
6,1,11,iki-üç-par-c,Perdelerin ikisi kirlenmemiş.,Perdelerin en az biri kirlenmiş.,implicature,3
6,2,1,iki-üç-par-n,Oyunun iki bölümünü bitirdim.,Oyunun üç bölümünü bitirmedim.,neutral,1
6,2,2,iki-üç-par-n,Oyunun ikiden fazla bölümünü bitirmedim.,Oyunun iki bölümünü bitirdim.,neutral,1
6,2,3,iki-üç-par-n,Oyunun iki bölümünü bitirmedim.,Oyunun üç bölümünü bitirmedim.,neutral,1
6,2,4,iki-üç-par-n,Oyunun üç bölümünü bitirdim.,Oyunun iki bölümünü bitirdim.,entailment,0
6,2,5,iki-üç-par-n,Oyunun üç bölümünü bitirmedim.,Oyunun iki bölümünü bitirmedim.,neutral,1
6,2,6,iki-üç-par-n,Oyunun iki bölümünü bitirdim.,Oyunun üç bölümünü bitirdim.,neutral,1
6,2,7,iki-üç-par-n,Oyunun üç bölümünü bitirdim.,Oyunun iki bölümünü bitirmedim.,neutral,1
