ling_category,set_n,sentence_n,scale,premise,hypothesis,category,label
5,48,1,iki-üç,Yeni binada iki kişi var.,Yeni binada üç kişi yok.,implicature,3
5,48,2,iki-üç,Yeni binada iki kişiden fazlası yok.,Yeni binada iki kişi var.,implicature,3
5,48,3,iki-üç,Yeni binada iki kişi yok.,Yeni binada üç kişi yok.,entailment,0
5,48,4,iki-üç,Yeni binada üç kişi var.,Yeni binada iki kişi var.,entailment,0
5,48,5,iki-üç,Yeni binada üç kişi yok.,Yeni binada iki kişi yok.,neutral,1
5,48,6,iki-üç,Yeni binada iki kişi var.,Yeni binada üç kişi var.,neutral,1
5,48,7,iki-üç,Yeni binada üç kişi var.,Yeni binada iki kişi yok.,contradiction,2
5,48,8,iki-üç,Yeni binada iki kişi yok.,Yeni binada üç kişi var.,contradiction,2
5,48,9,iki-üç-c,Yeni binada iki kişi yok.,Yeni binada iki kişiden azı var.,implicature,3
5,48,10,iki-üç-c,Yeni binada iki kişi yok.,Yeni binada en fazla bir kişi var.,implicature,3
5,48,11,iki-üç-c,Yeni binada iki kişi yok.,Yeni binada en az bir kişi var.,implicature,3
4,106,1,muhtemelen-kesin,Fırat takım elbisesini muhtemelen temizletirmiş.,Fıratın takım elbisesini temizleteceği kesin değilmiş.,implicature,3
4,106,2,muhtemelen-kesin,Fıratın takım elbisesini temizleteceği kesin değilmiş.,Fırat takım elbisesini muhtemelen temizletirmiş.,implicature,3
4,106,3,muhtemelen-kesin,Fırat takım elbisesini muhtemelen temizletmezmiş.,Fıratın takım elbisesini temizleteceği kesin değilmiş.,entailment,0
4,106,4,muhtemelen-kesin,Fıratın takım elbisesini temizleteceği kesinmiş.,Fırat takım elbisesini muhtemelen temizletirmiş.,entailment,0
4,106,5,muhtemelen-kesin,Fıratın takım elbisesini temizleteceği kesin değilmiş.,Fırat takım elbisesini muhtemelen temizletmezmiş.,neutral,1
4,106,6,muhtemelen-kesin,Fırat takım elbisesini muhtemelen temizletirmiş.,Fıratın takım elbisesini temizleteceği kesinmiş.,neutral,1
4,106,7,muhtemelen-kesin,Fıratın takım elbisesini temizleteceği kesinmiş.,Fırat takım elbisesini muhtemelen temizletmezmiş.,contradiction,2
4,106,8,muhtemelen-kesin,Fırat takım elbisesini muhtemelen temizletmezmiş.,Fıratın takım elbisesini temizleteceği kesinmiş.,contradiction,2
4,384,1,herhalde-yüzde yüz,Kitabı Samsun'a herhalde kargoyla göndermiş.,Kitabı Samsun'a kargoyla gönderdiği yüzde yüz değilmiş.,implicature,3
4,384,2,herhalde-yüzde yüz,Kitabı Samsun'a kargoyla gönderdiği yüzde yüz değilmiş.,Kitabı Samsun'a herhalde kargoyla göndermiş.,implicature,3
4,384,3,herhalde-yüzde yüz,Kitabı Samsun'a herhalde kargoyla göndermemiş.,Kitabı Samsun'a kargoyla gönderdiği yüzde yüz değilmiş.,entailment,0
4,384,4,herhalde-yüzde yüz,Kitabı Samsun'a yüzde yüz kargoyla göndermiş.,Kitabı Samsun'a herhalde kargoyla göndermiş.,entailment,0
4,384,5,herhalde-yüzde yüz,Kitabı Samsun'a kargoyla gönderdiği yüzde yüz değilmiş.,Kitabı Samsun'a herhalde kargoyla göndermemiş.,neutral,1
4,384,6,herhalde-yüzde yüz,Kitabı Samsun'a herhalde kargoyla göndermiş.,Kitabı Samsun'a yüzde yüz kargoyla göndermiş.,neutral,1
4,384,7,herhalde-yüzde yüz,Kitabı Samsun'a yüzde yüz kargoyla göndermiş.,Kitabı Samsun'a herhalde kargoyla göndermemiş.,contradiction,2
4,384,8,herhalde-yüzde yüz,Kitabı Samsun'a herhalde kargoyla göndermemiş.,Kitabı Samsun'a yüzde yüz kargoyla göndermiş.,contradiction,2
3,428,1,bazı-çok,Bazı tabloların rengi solmuş.,Çoğu tablonun rengi solmamış.,implicature,3
3,428,2,bazı-çok,Çoğu tablonun rengi solmamış.,Bazı tabloların rengi solmuş.,implicature,3
3,428,3,bazı-çok,Hiçbir tablonun rengi solmamış.,Çoğu tablonun rengi solmamış.,entailment,0
3,428,4,bazı-çok,Çoğu tablonun rengi solmuş.,Bazı tabloların rengi solmuş.,entailment,0
3,428,5,bazı-çok,Çoğu tablonun rengi solmamış.,Hiçbir tablonun rengi solmamış.,neutral,1
3,428,6,bazı-çok,Bazı tabloların rengi solmuş.,Çoğu tablonun rengi solmuş.,neutral,1
3,428,7,bazı-çok,Çoğu tablonun rengi solmuş.,Hiçbir tablonun rengi solmamış.,contradiction,2
3,428,8,bazı-çok,Hiçbir tablonun rengi solmamış.,Çoğu tablonun rengi solmuş.,contradiction,2
4,40,1,muhtemelen-kesin,Kırdığı heykelin parasını muhtemelen ödeyecektir.,Kırdığı heykelin parasını ödeyeceği kesin değil.,implicature,3
4,40,2,muhtemelen-kesin,Kırdığı heykelin parasını ödeyeceği kesin değil.,Kırdığı heykelin parasını muhtemelen ödeyecektir.,implicature,3
4,40,3,muhtemelen-kesin,Kırdığı heykelin parasını muhtemelen ödemeyecektir.,Kırdığı heykelin parasını ödeyeceği kesin değil.,entailment,0
4,40,4,muhtemelen-kesin,Kırdığı heykelin parasını ödeyeceği kesin.,Kırdığı heykelin parasını muhtemelen ödeyecektir.,entailment,0
4,40,5,muhtemelen-kesin,Kırdığı heykelin parasını ödeyeceği kesin değil.,Kırdığı heykelin parasını muhtemelen ödemeyecektir.,neutral,1
4,40,6,muhtemelen-kesin,Kırdığı heykelin parasını muhtemelen ödeyecektir.,Kırdığı heykelin parasını ödeyeceği kesin.,neutral,1
4,40,7,muhtemelen-kesin,Kırdığı heykelin parasını ödeyeceği kesin.,Kırdığı heykelin parasını muhtemelen ödemeyecektir.,contradiction,2
4,40,8,muhtemelen-kesin,Kırdığı heykelin parasını muhtemelen ödemeyecektir.,Kırdığı heykelin parasını ödeyeceği kesin.,contradiction,2
2,95,1,denemek-başarmak,Onun adını karalamayı denemişim.,Onun adını karalamayı başaramamışım.,implicature,3
2,95,2,denemek-başarmak,Onun adını karalamayı başaramamışım.,Onun adını karalamayı denemişim.,implicature,3
2,95,3,denemek-başarmak,Onun adını karalamayı denememişim.,Onun adını karalamayı başaramamışım.,entailment,0
2,95,4,denemek-başarmak,Onun adını karalamayı başarmışım.,Onun adını karalamayı denemişim.,entailment,0
2,95,5,denemek-başarmak,Onun adını karalamayı başaramamışım.,Onun adını karalamayı denememişim.,neutral,1
2,95,6,denemek-başarmak,Onun adını karalamayı denemişim.,Onun adını karalamayı başarmışım.,neutral,1
2,95,7,denemek-başarmak,Onun adını karalamayı başarmışım.,Onun adını karalamayı denememişim.,contradiction,2
2,95,8,denemek-başarmak,Onun adını karalamayı denememişim.,Onun adını karalamayı başarmışım.,contradiction,2
3,450,1,bazı-çok,Bazı çocukların oyuncakları kırık.,Çoğu çocuğun oyuncakları kırık değil.,implicature,3
3,450,2,bazı-çok,Çoğu çocuğun oyuncakları kırık değil.,Bazı çocukların oyuncakları kırık.,implicature,3
3,450,3,bazı-çok,Hiçbir çocuğun oyuncakları kırık değil.,Çoğu çocuğun oyuncakları kırık değil.,entailment,0
3,450,4,bazı-çok,Çoğu çocuğun oyuncakları kırık.,Bazı çocukların oyuncakları kırık.,entailment,0
3,450,5,bazı-çok,Çoğu çocuğun oyuncakları kırık değil.,Hiçbir çocuğun oyuncakları kırık değil.,neutral,1
3,450,6,bazı-çok,Bazı çocukların oyuncakları kırık.,Çoğu çocuğun oyuncakları kırık.,neutral,1
3,450,7,bazı-çok,Çoğu çocuğun oyuncakları kırık.,Hiçbir çocuğun oyuncakları kırık değil.,contradiction,2
3,450,8,bazı-çok,Hiçbir çocuğun oyuncakları kırık değil.,Çoğu çocuğun oyuncakları kırık.,contradiction,2
5,227,1,on yedi-yirmi dokuz,Yokuşu on yedi kişi çıktık.,Yokuşu yirmi dokuz kişi çıkmadık.,implicature,3
5,227,2,on yedi-yirmi dokuz,Yokuşu on yediden fazla kişi çıkmadık.,Yokuşu on yedi kişi çıktık.,implicature,3
5,227,3,on yedi-yirmi dokuz,Yokuşu on yedi kişi çıkmadık.,Yokuşu yirmi dokuz kişi çıkmadık.,entailment,0
5,227,4,on yedi-yirmi dokuz,Yokuşu yirmi dokuz kişi çıktık.,Yokuşu on yedi kişi çıktık.,entailment,0
5,227,5,on yedi-yirmi dokuz,Yokuşu yirmi dokuz kişi çıkmadık.,Yokuşu on yedi kişi çıkmadık.,neutral,1
5,227,6,on yedi-yirmi dokuz,Yokuşu on yedi kişi çıktık.,Yokuşu yirmi dokuz kişi çıktık.,neutral,1
5,227,7,on yedi-yirmi dokuz,Yokuşu yirmi dokuz kişi çıktık.,Yokuşu on yedi kişi çıkmadık.,contradiction,2
5,227,8,on yedi-yirmi dokuz,Yokuşu on yedi kişi çıkmadık.,Yokuşu yirmi dokuz kişi çıktık.,contradiction,2
5,227,9,on yedi-yirmi dokuz-c,Yokuşu on yedi kişi çıkmadık.,On yediden az kişi çıktık.,implicature,3
5,227,10,on yedi-yirmi dokuz-c,Yokuşu on yedi kişi çıkmadık.,En fazla on altı kişi çıktık.,implicature,3
5,227,11,on yedi-yirmi dokuz-c,Yokuşu on yedi kişi çıkmadık.,En az bir kişi çıktık.,implicature,3
4,137,1,muhtemelen-kesin,Patronlar işçilerin çalışma koşullarını bu toplantıda muhtemelen tartıştılar.,Patronların işçilerin çalışma koşullarını bu toplantıda tartıştıkları kesin değil.,implicature,3
4,137,2,muhtemelen-kesin,Patronların işçilerin çalışma koşullarını bu toplantıda tartıştıkları kesin değil.,Patronlar işçilerin çalışma koşullarını bu toplantıda muhtemelen tartıştılar.,implicature,3
4,137,3,muhtemelen-kesin,Patronlar işçilerin çalışma koşullarını bu toplantıda muhtemelen tartışmadılar.,Patronların işçilerin çalışma koşullarını bu toplantıda tartıştıkları kesin değil.,entailment,0
4,137,4,muhtemelen-kesin,Patronların işçilerin çalışma koşullarını bu toplantıda tartıştıkları kesin.,Patronlar işçilerin çalışma koşullarını bu toplantıda muhtemelen tartıştılar.,entailment,0
4,137,5,muhtemelen-kesin,Patronların işçilerin çalışma koşullarını bu toplantıda tartıştıkları kesin değil.,Patronlar işçilerin çalışma koşullarını bu toplantıda muhtemelen tartışmadılar.,neutral,1
