scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
benzer-aynı,Arabalarımız birbiriyle benzer.,Arabalarımız birbiriyle aynı.,Arabalarımız birbiriyle benzer değil.,Arabalarımız birbiriyle aynı değil.,"Arabalarımız birbiriyle benzer, hatta aynı.","Arabalarımız birbiriyle benzer, belki de aynı.",Arabalarımız birbiriyle benzer ama aynı değil.,"Arabalarımız birbiriyle aynı değil, hatta benzer bile değil.","Arabalarımız birbiriyle aynı değil, belki benzer bile değil.",Arabalarımız birbiriyle aynı değil ama benzer.
benzer-aynı,Bilgisayarların performansları benzer.,Bilgisayarların performansları aynı.,Bilgisayarların performansları benzer değil.,Bilgisayarların performansları aynı değil.,"Bilgisayarların performansları benzer, hatta aynı.","Bilgisayarların performansları benzer, belki de aynı.",Bilgisayarların performansları benzer ama aynı değil.,"Bilgisayarların performansları aynı değil, hatta benzer bile değil.","Bilgisayarların performansları aynı değil, belki benzer bile değil.",Bilgisayarların performansları aynı değil ama benzer.
benzer-aynı,Galerideki o iki resim benzer.,Galerideki o iki resim aynı.,Galerideki o iki resim benzer değil.,Galerideki o iki resim aynı değil.,"Galerideki o iki resim benzer, hatta aynı.","Galerideki o iki resim benzer, belki de aynı.",Galerideki o iki resim benzer ama aynı değil.,"Galerideki o iki resim aynı değil, hatta benzer bile değil.","Galerideki o iki resim aynı değil, belki benzer bile değil.",Galerideki o iki resim aynı değil ama benzer.
benzer-aynı,Yapılan yardımlar benzer.,Yapılan yardımlar aynı.,Yapılan yardımlar benzer değil.,Yapılan yardımlar aynı değil.,"Yapılan yardımlar benzer, hatta aynı.","Yapılan yardımlar benzer, belki de aynı.",Yapılan yardımlar benzer ama aynı değil.,"Yapılan yardımlar aynı değil, hatta benzer bile değil.","Yapılan yardımlar aynı değil, belki benzer bile değil.",Yapılan yardımlar aynı değil ama benzer.
benzer-aynı,Sınıfın sınav kağıtları benzer.,Sınıfın sınav kağıtları aynı.,Sınıfın sınav kağıtları benzer değil.,Sınıfın sınav kağıtları aynı değil.,"Sınıfın sınav kağıtları benzer, hatta aynı.","Sınıfın sınav kağıtları benzer, belki de aynı.",Sınıfın sınav kağıtları benzer ama aynı değil.,"Sınıfın sınav kağıtları aynı değil, hatta benzer bile değil.","Sınıfın sınav kağıtları aynı değil, belki benzer bile değil.",Sınıfın sınav kağıtları aynı değil ama benzer.
benzer-aynı,Bu iki kitap benzer.,Bu iki kitap aynı.,Bu iki kitap benzer değil.,Bu iki kitap aynı değil.,"Bu iki kitap benzer, hatta aynı.","Bu iki kitap benzer, belki de aynı.",Bu iki kitap benzer ama aynı değil.,"Bu iki kitap aynı değil, hatta benzer bile değil.","Bu iki kitap aynı değil, belki benzer bile değil.",Bu iki kitap aynı değil ama benzer.
benzer-aynı,Dünkü istekleriniz benzer.,Dünkü istekleriniz aynı.,Dünkü istekleriniz benzer değil.,Dünkü istekleriniz aynı değil.,"Dünkü istekleriniz benzer, hatta aynı.","Dünkü istekleriniz benzer, belki de aynı.",Dünkü istekleriniz benzer ama aynı değil.,"Dünkü istekleriniz aynı değil, hatta benzer bile değil.","Dünkü istekleriniz aynı değil, belki benzer bile değil.",Dünkü istekleriniz aynı değil ama benzer.
benzer-aynı,Geçen yılki kazanç ile bu yılki kazanç benzer.,Geçen yılki kazanç ile bu yılki kazanç aynı.,Geçen yılki kazanç ile bu yılki kazanç benzer değil.,Geçen yılki kazanç ile bu yılki kazanç aynı değil.,"Geçen yılki kazanç ile bu yılki kazanç benzer, hatta aynı.","Geçen yılki kazanç ile bu yılki kazanç benzer, belki de aynı.",Geçen yılki kazanç ile bu yılki kazanç benzer ama aynı değil.,"Geçen yılki kazanç ile bu yılki kazanç aynı değil, hatta benzer bile değil.","Geçen yılki kazanç ile bu yılki kazanç aynı değil, belki benzer bile değil.",Geçen yılki kazanç ile bu yılki kazanç aynı değil ama benzer.
benzer-aynı,Kitapta anlatılan bilgiler benzer.,Kitapta anlatılan bilgiler aynı.,Kitapta anlatılan bilgiler benzer değil.,Kitapta anlatılan bilgiler aynı değil.,"Kitapta anlatılan bilgiler benzer, hatta aynı.","Kitapta anlatılan bilgiler benzer, belki de aynı.",Kitapta anlatılan bilgiler benzer ama aynı değil.,"Kitapta anlatılan bilgiler aynı değil, hatta benzer bile değil.","Kitapta anlatılan bilgiler aynı değil, belki benzer bile değil.",Kitapta anlatılan bilgiler aynı değil ama benzer.
benzer-aynı,Bugünkü hava ile dünkü hava benzer.,Bugünkü hava ile dünkü hava aynı.,Bugünkü hava ile dünkü hava benzer değil.,Bugünkü hava ile dünkü hava aynı değil.,"Bugünkü hava ile dünkü hava benzer, hatta aynı.","Bugünkü hava ile dünkü hava benzer, belki de aynı.",Bugünkü hava ile dünkü hava benzer ama aynı değil.,"Bugünkü hava ile dünkü hava aynı değil, hatta benzer bile değil.","Bugünkü hava ile dünkü hava aynı değil, belki benzer bile değil.",Bugünkü hava ile dünkü hava aynı değil ama benzer.
