scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
muhtemelen-kesin,Bu işi muhtemelen yapacak.,Bu işi yapacağı kesin.,Bu işi muhtemelen yapmayacak.,Bu işi yapacağı kesin değil.,"Bu işi muhtemelen yapacak, hatta yapacağı kesin.","Bu işi muhtemelen yapacak, yapacağı belki de kesin.",Bu işi muhtemelen yapacak ama yapacağı kesin değil.,"Bu işi yapacağı kesin değil, hatta muhtemelen yapmayacak.","Bu işi yapacağı kesin değil, muhtemelen yapmayacak bile.",Bu işi yapacağı kesin değil ama muhtemelen yapacak.
muhtemelen-kesin,Konferansa muhtemelen katılacaklar.,Konferansa katılacakları kesin.,Konferansa muhtemelen katılmayacaklar.,Konferansa katılacakları kesin değil.,"Konferansa muhtemelen katılacaklar, hatta katılacakları kesin.","Konferansa muhtemelen katılacaklar, katılacakları belki de kesin.",Konferansa muhtemelen katılacaklar ama katılacakları kesin değil.,"Konferansa katılacakları kesin değil, hatta muhtemelen katılmayacaklar.","Konferansa katılacakları kesin değil, muhtemelen katılmayacaklar bile.",Konferansa katılacakları kesin değil ama muhtemelen katılacaklar.
muhtemelen-kesin,Yeni aldığı kitabı muhtemelen okuyacak.,Yeni aldığı kitabı okuyacağı kesin.,Yeni aldığı kitabı muhtemelen okumayacak.,Yeni aldığı kitabı okuyacağı kesin değil.,"Yeni aldığı kitabı muhtemelen okuyacak, hatta okuyacağı kesin.","Yeni aldığı kitabı muhtemelen okuyacak, okuyacağı belki de kesin.",Yeni aldığı kitabı muhtemelen okuyacak ama okuyacağı kesin değil.,"Yeni aldığı kitabı okuyacağı kesin değil, hatta muhtemelen okumayacak.","Yeni aldığı kitabı okuyacağı kesin değil, muhtemelen okumayacak bile.",Yeni aldığı kitabı okuyacağı kesin değil ama muhtemelen okuyacak.
muhtemelen-kesin,Yarışmaya muhtemelen katılacaksınız.,Yarışmaya katılacağınız kesin.,Yarışmaya muhtemelen katılmayacaksınız.,Yarışmaya katılacağınız kesin değil.,"Yarışmaya muhtemelen katılacaksınız, hatta katılacağınız kesin.","Yarışmaya muhtemelen katılacaksınız, katılacağınız belki de kesin.",Yarışmaya muhtemelen katılacaksınız ama katılacağınız kesin değil.,"Yarışmaya katılacağınız kesin değil, hatta muhtemelen katılmayacaksınız.","Yarışmaya katılacağınız kesin değil, muhtemelen katılmayacaksınız bile.",Yarışmaya katılacağınız kesin değil ama muhtemelen katılacaksınız.
muhtemelen-kesin,Dünkü mağlubiyeti muhtemelen hazmedecekler.,Dünkü mağlubiyeti hazmedecekleri kesin.,Dünkü mağlubiyeti muhtemelen hazmetmeyecekler.,Dünkü mağlubiyeti hazmedecekleri kesin değil.,"Dünkü mağlubiyeti muhtemelen hazmedecekler, hatta hazmedecekleri kesin.","Dünkü mağlubiyeti muhtemelen hazmedecekler, hazmedecekleri belki de kesin.",Dünkü mağlubiyeti muhtemelen hazmedecekler ama hazmedecekleri kesin değil.,"Dünkü mağlubiyeti hazmedecekleri kesin değil, hatta muhtemelen hazmetmeyecekler.","Dünkü mağlubiyeti hazmedecekleri kesin değil, muhtemelen hazmetmeyecekler bile.",Dünkü mağlubiyeti hazmedecekleri kesin değil ama muhtemelen hazmedecekler.
muhtemelen-kesin,Yarınki sınavı muhtemelen kazanacağım.,Yarınki sınavı kazanacağım kesin.,Yarınki sınavı muhtemelen kazanmayacağım.,Yarınki sınavı kazanacağım kesin değil.,"Yarınki sınavı muhtemelen kazanacağım, hatta kazanacağım kesin.","Yarınki sınavı muhtemelen kazanacağım, kazanacağım belki de kesin.",Yarınki sınavı muhtemelen kazanacağım ama kazanacağım kesin değil.,"Yarınki sınavı kazanacağım kesin değil, hatta muhtemelen kazanmayacağım.","Yarınki sınavı kazanacağım kesin değil, muhtemelen kazanmayacağım bile.",Yarınki sınavı kazanacağım kesin değil ama muhtemelen kazanacağım.
muhtemelen-kesin,Bize karşı olan tutumlarını muhtemelen değiştirecekler.,Bize karşı olan tutumlarını değiştirecekleri kesin.,Bize karşı olan tutumlarını muhtemelen değiştirmeyecekler.,Bize karşı olan tutumlarını değiştirmeleri kesin değil.,"Bize karşı olan tutumlarını muhtemelen değiştirecekler, hatta değiştirecekleri kesin.","Bize karşı olan tutumlarını muhtemelen değiştirecekler, değiştirecekleri belki de kesin.",Bize karşı olan tutumlarını muhtemelen değiştirecekler ama değiştirecekleri kesin değil.,"Bize karşı olan tutumlarını değiştirecekleri kesin değil, hatta muhtemelen değiştirmeyecekler.","Bize karşı olan tutumlarını değiştirecekleri kesin değil, muhtemelen değiştirmeyecekler bile.",Bize karşı olan tutumlarını değiştirecekleri kesin değil ama muhtemelen değiştirecekler.
muhtemelen-kesin,Fransızcayı ve Koreceyi muhtemelen öğrenecekler.,Fransızcayı ve Koreceyi öğrenecekleri kesin.,Fransızcayı ve Koreceyi muhtemelen öğrenmeyecekler.,Fransızcayı ve Koreceyi öğrenecekleri kesin değil.,"Fransızcayı ve Koreceyi muhtemelen öğrenecekler, hatta öğrenecekleri kesin.","Fransızcayı ve Koreceyi muhtemelen öğrenecekler, öğrenecekleri belki de kesin.",Fransızcayı ve Koreceyi muhtemelen öğrenecekler ama öğrenecekleri kesin değil.,"Fransızcayı ve Koreceyi öğrenecekleri kesin değil, hatta muhtemelen öğrenmeyecekler.","Fransızcayı ve Koreceyi öğrenecekleri kesin değil, muhtemelen öğrenmeyecekler bile.",Fransızcayı ve Koreceyi öğrenecekleri kesin değil ama muhtemelen öğrenecekler.
muhtemelen-kesin,Evden çıkan çöpü muhtemelen atacak.,Evden çıkan çöpü atacağı kesin.,Evden çıkan çöpü muhtemelen atmayacak.,Evden çıkan çöpü atacağı kesin değil.,"Evden çıkan çöpü muhtemelen atacak, hatta atacağı kesin.","Evden çıkan çöpü muhtemelen atacak, atacağı belki de kesin.",Evden çıkan çöpü muhtemelen atacak ama atacağı kesin değil.,"Evden çıkan çöpü atacağı kesin değil, hatta muhtemelen atmayacak.","Evden çıkan çöpü atacağı kesin değil, muhtemelen atmayacak bile.",Evden çıkan çöpü atacağı kesin değil ama muhtemelen atacak.
muhtemelen-kesin,Bu sene muhtemelen tasarruf edeceğiz.,Bu sene tasarruf edeceğimiz kesin.,Bu sene muhtemelen tasarruf etmeyeceğiz.,Bu sene tasarruf edeceğimiz kesin değil.,"Bu sene muhtemelen tasarruf edeceğiz, hatta tasarruf edeceğimiz kesin.","Bu sene muhtemelen tasarruf edeceğiz, tasarruf edeceğimiz belki de kesin.",Bu sene muhtemelen tasarruf edeceğiz ama tasarruf edeceğimiz kesin değil.,"Bu sene tasarruf edeceğimiz kesin değil, hatta muhtemelen tasarruf etmeyeceğiz.","Bu sene tasarruf edeceğimiz kesin değil, muhtemelen tasarruf etmeyeceğiz bile.",Bu sene tasarruf edeceğimiz kesin değil ama muhtemelen tasarruf edeceğiz.
